ID,Date,Attack,Target Class,Attack Class,Country,Initial Access
51,18/01/2016,Defacement,Education,H,CN,N/A
52,18/01/2016,Account Hijacking,Single Individual,CC,US,N/A
53,18/01/2016,DDoS,Government,H,IR,N/A
54,19/01/2016,Account Hijacking,Finance,CC,BE,N/A
55,19/01/2016,Account Hijacking,Industry: Aerospace,CC,AT,N/A
56,19/01/2016,Malware,Healthcare,CC,AU,N/A
57,19/01/2016,Malvertising,Industry: Software,CC,US,N/A
58,19/01/2016,Targeted Attack,>1,CE,>1,N/A
59,19/01/2016,Defacement,Finance,H,RU,N/A
60,19/01/2016,SQLi,Forum,CC,N/A,N/A
61,20/01/2016,Targeted Attack,Utilities,CW,UA,N/A
62,20/01/2016,DDoS,Industry: Entertainment,CC,KR,N/A
63,21/01/2016,DDoS,Healthcare,H,US,N/A
64,21/01/2016,Defacement,>1,CW,>1,N/A
65,22/01/2016,DDoS,Government,H,US,N/A
66,22/01/2016,Account Hijacking,Finance,CC,US,N/A
67,22/01/2016,DDoS,Lottery,CC,IE,N/A
68,22/01/2016,DDoS,Government,CC,IE,N/A
69,22/01/2016,Defacement,Single Individual,CW,IR,N/A
70,23/01/2016,DDoS,Airport,H,JP,N/A
71,23/01/2016,Unknown,Forum,CC,US,N/A
72,23/01/2016,Unknown,Law Enforcement,H,US,N/A
73,23/01/2016,Unknown,Industry: Automotive,CC,RU,N/A
74,23/01/2016,Unknown,Online Services,CC,JP,N/A
75,24/01/2016,Targeted Attack,Single Individuals,CE,>1,N/A
76,24/01/2016,Unknown,Finance,CC,IL,N/A
77,24/01/2016,Unknown,Industry: Automotive,CC,IT,N/A
78,25/01/2016,Targeted Attack,Activists Groups,CE,CN,N/A
79,25/01/2016,Defacement,Org: Politics,H,US,N/A
80,25/01/2016,Account Hijacking,Single Individual,CC,US,N/A
81,26/01/2016,Targeted Attack,Utilities,CC,IL,N/A
82,26/01/2016,Unknown,Law Enforcement,CC,US,N/A
83,26/01/2016,HTML redirection,"Education
Government",CE,US,N/A
84,26/01/2016,Targeted Attack,N/A,CE,N/A,N/A
85,26/01/2016,Defacement,Government,H,CR,N/A
86,27/01/2016,Unknown,Industry: Restaurant,CC,US,N/A
87,28/01/2016,Unknown,Industry: Software,CC,US,N/A
88,28/01/2016,Malvertising,>1,CC,>1,N/A
89,28/01/2016,DDoS,Law Enforcement,H,TH,N/A
90,28/01/2016,DDoS,Government,CW,AZ,N/A
91,28/01/2016,Unknown,Online Services,CC,CA,N/A
92,29/01/2016,DDoS,Finance,CC,UK,N/A
93,29/01/2016,Unknown,Industry: Retail,CC,US,N/A
94,30/01/2016,Unknown,Government,H,CO,N/A
95,30/01/2016,DDoS,Online Services,CC,NL,N/A
96,31/01/2016,Malware,Government,H,US,N/A
97,01/02/2016,Unknown,Industry: Entertainment,CC,US,N/A
98,03/02/2016,Wordpress Vulnerability,Single Individuals,CC,>1,N/A
99,03/02/2016,Account Hijacking,Healthcare,CC,US,N/A
100,03/02/2016,Unknown,Law Enforcement,H,TH,N/A
101,04/02/2016,Unknown,Education,CC,US,N/A
102,04/02/2016,Unknown,Single Individual,H,US,N/A
103,04/02/2016,Unknown,Finance,CC,RU,N/A
104,04/02/2016,Unknown,Industry: Cycling Equipment,CC,IT,N/A
105,05/02/2016,Account Hijacking,Industry: E-Commerce,CC,CN,N/A
106,05/02/2016,Unknown,Industry: Retail,CC,UK,N/A
107,05/02/2016,SQLi,Online Services,CC,US,N/A
108,05/02/2016,SQLi,Online Services,CC,US,N/A
109,06/02/2016,SQLi,Bitcoin Exchange,CC,US,N/A
110,06/02/2016,Account Hijacking,Industry: Software,H,RW,N/A
111,06/02/2016,Unknown,Government,H,UG,N/A
112,06/02/2016,Defacement,Government,IN,H,N/A
113,07/02/2016,Account Hijacking,Government,H,US,N/A
114,08/02/2016,Account Hijacking,Law Enforcement,H,US,N/A
115,08/02/2016,Targeted Attack,Finance,CC,RU,N/A
116,08/02/2016,Malware (Carbanak 2.0),Finance,CC,>1,N/A
117,08/02/2016,Malware,Finance,CC,CY,N/A
118,09/02/2016,Brute Force,Government,CC,US,N/A
119,09/02/2016,Targeted Attack,Single Individuals,CE,IL,N/A
120,09/02/2016,Unknown,Fire and Rescue,CC,UK,N/A
121,10/02/2016,Malvertising,Single Individuals,CC,>1,N/A
122,10/02/2016,Unknown,Government,H,CL,N/A
123,10/02/2016,Zimbra Vulnerability,Military,H,BO,N/A
124,10/02/2016,Account Hijacking,DarkNet Web Market,CC,N/A,N/A
125,11/02/2016,Targeted Attack,"Industry: Mining
Railway Operator",CW,UA,N/A
126,11/02/2016,Unknown,Industry: Job Seeking,H,ZA,N/A
127,11/02/2016,Unknown,Online Services,CC,US,N/A
128,12/02/2016,SQLi,Government,H,ZA,N/A
129,12/02/2016,Defacement,Industry: ISP,H,ZA,N/A
130,12/02/2016,Malware,Org: Health,CC,UK,N/A
131,12/02/2016,SQLi,Online Services,CC,US,N/A
132,15/02/2016,Unknown,Law Enforcement,CC,TR,N/A
133,15/02/2016,Brute Force,Cryptocoin Exchange,CC,>1,N/A
134,15/02/2016,Malvertising,Single Individuals,CC,>1,N/A
135,15/02/2016,Account Hijacking,Single Individual,CC,UK,N/A
136,15/02/2016,Unknown,Government,H,ZA,N/A
137,15/02/2016,Unknown,Industry: Telco,H,TZ,N/A
138,15/02/2016,DDoS,Industry: Software,CC,US,N/A
139,16/02/2016,Brute Force?,Industry: Music Streaming,CC,RU,N/A
140,16/02/2016,Unknown,Industry: Utility,CC,US,N/A
141,16/02/2016,Unknown,Law Enforcement,CC,US,N/A
142,16/02/2016,Unknown,Online Games,CC,US,N/A
143,17/02/2016,Unknown,Industry: E-Commerce,CC,US,N/A
144,17/02/2016,Unknown,Industry: Recruiting,CC,IN,N/A
145,18/02/2016,Unknown,Org: Software,CC,N/A,N/A
146,19/02/2016,Targeted Attack,Government,CE,IL,N/A
147,19/02/2016,Unknown,Industry: Video Games,CC,CZ,N/A
148,20/02/2016,Malicious PHP Script,Org: Software,CC,N/A,N/A
149,22/02/2016,Unknown,Healthcare,CC,US,N/A
150,22/02/2016,DDoS,Government,H,IT,N/A
151,22/02/2016,Unknown,Government,H,FR,N/A
152,22/02/2016,Unknown,Law Enforcement,H,US,N/A
153,24/02/2016,Targeted Attack,>1,CE,JP,N/A
154,24/02/2016,Account Hijacking,Single Individual,CC,US,N/A
155,24/02/2016,SQLi,Org: United Nations,H,N/A,N/A
156,25/02/2016,Backdoor via Joomla plugin vulnerability,Finance,CC,US,N/A
157,25/02/2016,Unknown,Industry: Stamps,CC,US,N/A
158,25/02/2016,Malware,Industry: E-Commerce,CC,US,N/A
159,26/02/2016,Unknown,Education,CC,US,N/A
160,26/02/2016,DDoS,Education,CC,US,N/A
161,26/02/2016,Unknown,Online Games,CC,US,N/A
162,27/02/2016,Unknown,Law Enforcement,H,US,N/A
163,27/02/2016,Targeted Attack,Government,CE,NO,N/A
164,27/02/2016,Unknown,Industry: Web Hosting,H,IT,N/A
165,28/02/2016,Account Hijacking,Industry: Software,CC,US,N/A
166,28/02/2016,SQLi,Industry: Telco,CC,US,N/A
167,28/02/2016,Defacement,Industry: Solar Panel,H,UK,N/A
168,29/02/2016,Unknown,Org: Terrorism,CW,N/A,N/A
169,29/02/2016,Malware,Finance,CC,IL,N/A
170,29/02/2016,SQLi,Dating,CC,CA,N/A
171,01/03/2016,Account Hijacking,Industry: Computer Storage,CC,US,N/A
172,01/03/2016,Unknown,Org: Anti-Piracy Maritime Security,CC,GU,N/A
173,01/03/2016,SQLi,Finance,CC,US,N/A
174,01/03/2016,SQLi,Torrent Tracker,CC,SK,N/A
175,01/03/2016,Account Hijacking,Industry: Legal Services,CC,US,N/A
176,01/03/2016,Unknown,Industry: Plastic Surgery,CC,RU,N/A
177,01/03/2016,Targeted Attack,>1,CE,>1,N/A
178,02/03/2016,Account Hijacking,Industry: Concrete,CC,US,N/A
179,02/03/2016,Unknown,Online Services,CC,US,N/A
180,03/03/2016,Unknown,Industry: Shipping,CC,N/A,N/A
181,03/03/2016,Unknown,Industry: Telco,CC,US,N/A
182,04/03/2016,Account Hijacking,Industry: Financial Services,CC,US,N/A
183,04/03/2016,Account Hijacking,Industry: Publishing,CC,US,N/A
184,04/03/2016,Account Hijacking,Industry: Telco,CC,US,N/A
185,04/03/2016,POS Malware,Industry: Hotel and Hospitality,CC,US,N/A
186,04/03/2016,Unknown,>1,H,RU,N/A
187,04/03/2016,SQLi,Gambling,H,IT,N/A
188,05/03/2016,Account Hijacking,Single Individual,H,US,N/A
189,05/03/2016,Unknown,Law Enforcement,CW,US,N/A
190,05/03/2016,Unknown,Industry: News,CW,KR,N/A
191,07/03/2016,Targeted Attack,Government,CE,TR,N/A
192,07/03/2016,Targeted Attack,Government,CE,IN,N/A
193,07/03/2016,Unknown,Industry: Food manufacturing,CC,JP,N/A
194,08/03/2016,Malware,Government,CE,KR,N/A
195,08/03/2016,Targeted Attack,Government,CE,FI,N/A
196,08/03/2016,Unknown,Industry: Retail,CC,US,N/A
197,08/03/2016,Unknown,Industry: Home routers,CC,US,N/A
198,08/03/2016,Unknown,Healthcare,CC,US,N/A
199,09/03/2016,Targeted Attack,Government,CE,KR,N/A
200,09/03/2016,Account Hijacking,Industry: Payroll Services,CC,US,N/A
201,10/03/2016,Account Hijacking,Finance,CC,BD,N/A
202,10/03/2016,Unknown,Healthcare,CC,US,N/A
203,10/03/2016,Unknown,Industry: Financial Services,CC,US,N/A
204,10/03/2016,Unknown,Forum,CC,US,N/A
205,10/03/2016,SQLi,Online Services,CC,US,N/A
206,10/03/2016,SQLi,Online Services,CC,UK,N/A
207,11/03/2016,Unknown,Industry: DDoS protection,CC,US,N/A
208,11/03/2016,DDoS,Entertainment,CC,US,N/A
209,11/03/2016,Unknown,Education,CC,US,N/A
210,13/03/2016,DDoS,Government,H,US,N/A
211,14/03/2016,Malvertising,Single Individuals,CC,>1,N/A
212,14/03/2016,Unknown,Healthcare,CC,US,N/A
213,15/03/2016,SQLi,Online Services,CC,FR,N/A
214,15/03/2016,Targeted Attack,>1,CE,>1,N/A
215,15/03/2016,Unknown,Industry: Retail,CC,US,N/A
216,15/03/2016,Account Hijacking,Single Individuals,CC,RU,N/A
217,15/03/2016,Unknown,Industry: Parking,CC,US,N/A
218,15/03/2016,Mobile Malware,Military,CE,IN,N/A
219,16/03/2016,Unknown,Org: Political Party,CC,CH,N/A
220,16/03/2016,DDoS,"Transportation
Industry: Retail",CC,CH,N/A
221,17/03/2016,Unknown,Org: Education,CC,US,N/A
222,17/03/2016,Unknown,Industry: Hotel and Hospitality,CC,US,N/A
223,18/03/2016,Unknown,Org: Sport,CC,US,N/A
224,18/03/2016,Unknown,Industry: Tourism,H,JP,N/A
225,18/03/2016,Malvertising,>1,CC,>1,N/A
226,18/03/2016,Unknown,Bitcoin Exchange,CC,US,N/A
227,19/03/2016,DDoS,News,CC,SE,N/A
228,19/03/2016,Account Hijacking,Bitcoin Exchange,CC,NG,N/A
229,20/03/2016,Malicious PHP injection via Wordpress Vulnerability,Org: Security Professionals,CC,US,N/A
230,20/03/2016,Account Hijacking,Single Individuals,CC,UK,N/A
231,20/03/2016,DDoS,Government,H,US,N/A
232,21/03/2016,Joomla Vulnerability,Healthcare,CC,CA,N/A
233,21/03/2016,Malware,Education,CC,CA,N/A
234,22/03/2016,SQLi/Phishing,Utility,H,N/A,N/A
235,22/03/2016,Account Hijacking,Industry: Software,CC,US,N/A
236,22/03/2016,Account Hijacking,Education,CC,US,N/A
237,22/03/2016,Malvertising,Several Individuals,CC,CN,N/A
238,23/03/2016,Account Hijacking,Industry: Grocery,CC,US,N/A
239,23/03/2016,Account Hijacking,Industry: Hotel and Hospitality,CC,US,N/A
240,24/03/2016,Mongo DB Vulnerability,Industry: Telco,CC,IT,N/A
241,24/03/2016,Targeted Attack,Military,CE,IN,N/A
242,24/03/2016,SQLi,Sport,CC,US,N/A
243,24/03/2016,Unknown,Industry: Software,CC,US,N/A
244,24/03/2016,Account Hijacking,Org: Home Care,CC,US,N/A
245,25/03/2016,Malvertising,Community,CC,AU,N/A
246,25/03/2016,Account Hijacking,Industry: Anti-Counterfeiting,CC,US,N/A
247,25/03/2016,Account Hijacking,Education,CC,US,N/A
248,25/03/2016,Malware,Healthcare,CC,US,N/A
249,26/03/2016,Unknown,Single Individuals,CC,JP,N/A
250,27/03/2016,Unknown,Government,H,PH,N/A
251,27/03/2016,Unknown,Industry: E-Commerce,CC,IE,N/A
252,27/03/2016,Defacement,Industry: Mining,H,CA,N/A
253,28/03/2016,Unauthorized Access,Education,CC,US,N/A
254,29/03/2016,Malvertising,Social Network,CW,US,N/A
255,29/03/2016,Targeted Attack,Law Firms,CC,US,N/A
256,29/03/2016,Targeted Attack,N/A,CE,TW,N/A
257,29/03/2016,Defacement,Industry: Oil and Energy,H,KE,N/A
258,29/03/2016,Defacement,Government,H,AO,N/A
259,29/03/2016,>1,>1,CC,>1,N/A
260,30/03/2016,DDoS,Bitcoin Exchange,CC,US,N/A
261,31/03/2016,SQLi,Adult Site,CC,US,N/A
262,01/04/2016,Malicious JQuery injection,>1,CC,>1,N/A
263,01/04/2016,Defacement,Government,CW,AM,N/A
264,02/04/2016,Defacement,Government,CW,AZ,N/A
265,02/04/2016,Unknown,Industry: E-Commerce,CC,US,N/A
266,04/04/2016,Targeted Attack,Government,CE,US,N/A
267,04/04/2016,PoS Malware,Industry: Hotel and Hospitality,CC,US,N/A
268,04/04/2016,Account Hijacking,Education,CC,US,N/A
269,05/04/2016,Wordpress Vulnerability,Industry: Legal Services,H,PA,N/A
270,05/04/2016,Unknown,Government,CC,TR,N/A
271,05/04/2016,Unknown,Education,CC,UK,N/A
272,05/04/2016,Account Hijacking,Radio Station,CC,US,N/A
273,05/04/2016,Account Hijacking,Healthcare,CC,US,N/A
274,06/04/2016,Unknown,Bitcoin Exchange,CC,FR,N/A
275,06/04/2016,SQLi,Online Services,CC,UK,N/A
276,07/04/2016,Targeted Attack,Org: Charity,CC,UK,N/A
277,07/04/2016,Account Hijacking,Government,H,AM,N/A
278,07/04/2016,Unknown,Online Services,CC,CZ,N/A
279,08/04/2016,SQLi,Industry: E-Commerce,CC,SG,N/A
280,09/04/2016,Unknown,Industry: Job Seeking,H,IT,N/A
281,09/04/2016,Unknown,Industry: Construction,CC,US,N/A
282,10/04/2016,SQLi,Education,CC,US,N/A
283,10/04/2016,Unknown,Online Services,CC,IN,N/A
284,11/04/2016,Unknown,Military,CC,SE,N/A
285,11/04/2016,Malvertising,>1,CC,NL,N/A
286,12/04/2016,Targeted Attack,Government,CW,SE,N/A
287,12/04/2016,Unknown,Adult Sites,CC,US,N/A
288,12/04/2016,SQLi,Government,H,SY,N/A
289,13/04/2016,Unknown,Forum,CC,US,N/A
290,13/04/2016,Account Hijacking,Education,CC,US,N/A
291,13/04/2016,DDoS,Education,H,CA,N/A
292,14/04/2016,DDoS,Industry: Video Games,CC,US,N/A
293,15/04/2016,DDoS,Org: Education Network,CC,UK,N/A
294,15/04/2016,SQLi,Online Services,CC,IT,N/A
295,15/04/2016,Account Hijacking,Government,CC,US,N/A
296,15/04/2016,Defacement,Government,H,US,N/A
297,15/04/2016,Unknown,Industry: Financial Services,CC,US,N/A
298,15/04/2016,Unknown,Healthcare,CC,US,N/A
299,15/04/2016,SQLi,Online Services,CC,UK,N/A
300,16/04/2016,Defacement,>1,CW,>1,N/A
301,17/04/2016,Unknown,Bitcoin Casino,CC,US,N/A
302,18/04/2016,Account Hijacking,Single Individuals,CC,US,N/A
303,18/04/2016,Malware,Law Enforcement,CC,US,N/A
304,18/04/2016,Unknown,Industry: Cosmetics,CC,US,N/A
305,18/04/2016,SQLi,Industry: Furniture,CC,US,N/A
306,19/04/2016,Targeted Attack,>1,CE,>1,N/A
307,19/04/2016,Account Hijacking,Industry: Bitcoin Exchange,CC,US,N/A
308,19/04/2016,Directory Traversal Attack,Industry: Insurance,CC,US,N/A
309,19/04/2016,SQLi,Education,CC,EG,N/A
310,20/04/2016,Targeted Attack,"Industry: Retail
Industry: Hotel and Hospitality",CC,>1,N/A
311,21/04/2016,Unknown,Org: Religion,CC,US,N/A
312,21/04/2016,Unknown,Industry: Software,CC,US,N/A
313,22/04/2016,Unknown,Government,CC,UK,N/A
314,22/04/2016,DDoS,Several Individuals,H,>1,N/A
315,22/04/2016,DDoS,Government,H,US,N/A
316,22/04/2016,Defacement,Org: Religion,CW,US,N/A
317,24/04/2016,DDoS,Org: Politics,H,US,N/A
318,24/04/2016,Unknown,Online Bet,CC,ZA,N/A
319,25/04/2016,Unknown,Dating,CC,US,N/A
320,25/04/2016,SQLi,Finance,CC,QA,N/A
321,25/04/2016,Malware,Utility,CC,US,N/A
322,25/04/2016,Unknown,Industry: Music,CC,SE,N/A
323,25/04/2016,PoS Malware?,Industry: Hotel and Hospitality,CC,US,N/A
324,26/04/2016,Unknown,Industry: Video Games,CC,US,N/A
325,26/04/2016,Malware,Industry: Utility,CC,DE,N/A
326,26/04/2016,Unknown,Industry: Gold Mining,CC,CA,N/A
327,26/04/2016,Targeted Attack,Industry: Steel,CE,US,N/A
328,27/04/2016,Malvertising,Torrent ,CC,SE,N/A
329,27/04/2016,Targeted Attack,>1,CE,>1,N/A
330,27/04/2016,Targeted Attack,>1,CE,>1,N/A
331,27/04/2016,Exploited Undisclosed Vulnerability,Industry: E-Commerce,CC,US,N/A
332,27/04/2016,Unknown,Government,H,KE,N/A
333,28/04/2016,Account Hijacking,Education,CC,US,N/A
334,28/04/2016,Exploited Undisclosed Vulnerability,Industry: Retail,CC,US,N/A
335,29/04/2016,Unknown,Industry: Software,CC,TW,N/A
336,29/04/2016,Outdated Joomla,Industry: Toys,CC,HK,N/A
337,29/04/2016,Account Hijacking,Industry: Conglomerate,CC,US,N/A
338,29/04/2016,Targeted Attack,>1,CE,JP,N/A
339,29/04/2016,Account Hijacking,Single Individuals,CC,US,N/A
340,29/04/2016,Unknown,Single Individuals,CW,US,N/A
341,30/04/2016,DDoS,Org: Social Movement/Activism,H,US,N/A
342,30/04/2016,Account Hijacking,Industry: System Integration,CC,US,N/A
343,02/05/2016,Account Hijacking,Industry: Payroll Services,CC,US,N/A
344,02/05/2016,Unknown,Military,CW,US,N/A
345,02/05/2016,Targeted Attack,>1,CE,IL,N/A
346,02/05/2016,SQLi,Industry: Job Search,CC,AU,N/A
347,03/05/2016,DDoS,Finance,H,GR,N/A
348,03/05/2016,Malware,Social Club,CC,US,N/A
349,04/05/2016,Malvertising,Industry: Broadcast,CE,US,N/A
350,05/05/2016,Unknown,>1,CC,>1,N/A
351,05/05/2016,Unknown,>1,CC,>1,N/A
352,05/05/2016,Unknown,Industry: Financial Services,CC,US,N/A
353,05/05/2016,Malware,Org: Non-Profit,CC,US,N/A
354,05/05/2016,Unknown,Virtual Community,CC,US,N/A
355,05/05/2016,Unknown,N/A,H,N/A,N/A
356,05/05/2016,DDoS,Finance,H,CY,N/A
357,05/05/2016,Defacement,Social Network,CC,US,N/A
358,05/05/2016,Account Hijacking,Healthcare,CC,US,N/A
359,05/05/2016,Targeted Attack,Industry: Defence Contractor,CE,CH,N/A
360,06/05/2016,SQLi,Hacker Forum,CC,US,N/A
361,06/05/2016,Unknown,Single Individual,H,RU,N/A
362,06/05/2016,Unknown,Adult Site,CC,US,N/A
363,06/05/2016,Unknown,Finance,CC,AE,N/A
364,07/05/2016,DDoS,Finance,H,"DO
GG
MV
NL
PA
KE
MX
BA",N/A
365,08/05/2016,Unknown,Industry: Software,CC,UK,N/A
366,09/05/2016,Unknown,Industry: Retail,CC,UK,N/A
367,09/05/2016,Unknown,Industry: Software,CC,US,N/A
368,09/05/2016,Malvertising,Blog,CC,US,N/A
369,09/05/2016,Malware,Healthcare,CC,US,N/A
370,09/05/2016,SQLi,Industry: Car Rental,CC,FR,N/A
371,10/05/2016,Defacement,Education,H,IN,N/A
372,11/05/2016,Targeted Attack,Industry: Defense,CE,KR,N/A
373,11/05/2016,Targeted Attack,Government,CE,DE,N/A
374,11/05/2016,Malware,Healthcare,CC,US,N/A
375,12/05/2016,Unknown,Single Individuals,CC,CN,N/A
376,12/05/2016,Unknown,Single Individuals,H,>1,N/A
377,12/05/2016,SQLi,Adult Forum,CC,N/A,N/A
378,12/05/2016,SQLi,Online Services,CC,AL,N/A
379,13/05/2016,Targeted Attack,Finance,CC,N/A,N/A
380,13/05/2016,Unknown,Finance,H,UK,N/A
381,13/05/2016,SQLi,Education,H,ZA,N/A
382,13/05/2016,DDoS,Finance,H,"JO
KR
FR
ME",N/A
383,13/05/2016,Account Hijacking,Industry: Software,CC,US,N/A
384,13/05/2016,SQLi,News,CC,FJ,N/A
385,14/05/2016,SQLi,Finance,CC,"BD
NP
LK",N/A
386,14/05/2016,DDoS,Government,H,US,N/A
387,14/05/2016,Undisclosed Vulnerability,Adult Site,CC,US,N/A
388,14/05/2016,Malware,Industry: Sportswear,CC,NL,N/A
389,15/05/2016,Misconfigured FTP Server,>1,H,>1,N/A
390,15/05/2016,Unknown,Bitcoin Exchange,CC,HK,N/A
391,15/05/2016,DDoS,Finance,H,"FR
AE
TN
TT
PH",N/A
392,16/05/2016,Unknown,Finance,CC,LK,N/A
393,17/05/2016,JS injection,>1,CC,>1,N/A
394,18/05/2016,Account Hijacking,Single Individuals,CC,BD,N/A
395,18/05/2016,Targeted Attack,Single Individuals,CE,UA,N/A
396,18/05/2016,Unknown,Government,CC,US,N/A
397,18/05/2016,SQLi,Healthcare,H,TR,N/A
398,18/05/2016,Malware,Healthcare,CC,US,N/A
399,18/05/2016,SQLi,News,CC,AU,N/A
400,19/05/2016,PoS Malware,Industry: Restaurant,CC,US,N/A
401,20/05/2016,Targeted Attack,Finance,CC,EC,N/A
402,20/05/2016,ImageMagick Vulnerability,Forum,CC,US,N/A
403,20/05/2016,Malware,Industry: Networking,CC,US,N/A
404,20/05/2016,SQLi,Law Enforcement,H,ES,N/A
405,21/05/2016,Unknown,Online Services,CC,US,N/A
406,22/05/2016,Unknown,Industry: Restaurant,CC,AE,N/A
407,22/05/2016,SQLi,Industry: Restaurant,CC,AR,N/A
408,22/05/2016,Unknown,News,CC,KE,N/A
409,23/05/2016,Unknown,Healthcare,CC,US,N/A
410,23/05/2016,Defacement,Online Services,H,FR,N/A
411,23/05/2016,Targeted Attack,Government,CE,>1,N/A
412,23/05/2016,SQLi,Real Estate,CC,AU,N/A
413,24/05/2016,Unknown,Government,CE,IR,N/A
414,24/05/2016,Unknown,Online Services,CC,CH,N/A
415,25/05/2016,DDoS,Industry: Internet Services,CC,US,N/A
416,25/05/2016,Account Hijacking,Single Individuals,CC,>1,N/A
417,26/05/2016,Undisclosed Vulnerability,Online Services,CC,US,N/A
418,27/05/2016,Unknown,Social Network,CC,US,N/A
419,27/05/2016,Targeted Attack,Finance,CC,>1,N/A
420,27/05/2016,Account Hijacking,Social Network,CC,US,N/A
421,27/05/2016,Unknown,Healthcare,CC,US,N/A
422,27/05/2016,DDoS,Online Marketplace,CC,IL,N/A
423,27/05/2016,Unknown,Online Services,CC,US,N/A
424,28/05/2016,Defacement,Real Estate,CC,PK,N/A
425,29/05/2016,Targeted Attack,Single Individuals,CE,AE,N/A
426,29/05/2016,Account Hijacking,"Finance
Industry: Technology",CE,SA,N/A
427,29/05/2016,Unknown,Transport,CC,AU,N/A
428,30/05/2016,Unknown,Social Network,CC,US,N/A
429,30/05/2016,Account Hijacking,Single Individual,CC,US,N/A
430,30/05/2016,SQLi,Industry: Energy,H,KE,N/A
431,31/05/2016,SQLi,Law Enforcement,H,ES,N/A
432,31/05/2016,Unknown,Real Estate,CC,IN,N/A
433,01/06/2016,Undisclosed Vulnerability,Org: Software,CC,US,N/A
434,01/06/2016,Unknown,Road Signs,CC,US,N/A
435,01/06/2016,Targeted Attack,Government,CE,SA,N/A
436,01/06/2016,DDoS,News,H,US,N/A
437,02/06/2016,Unknown,Social Network,CC,CN,N/A
438,02/06/2016,Targeted Attack,Org: Political Party,CE,TW,N/A
439,02/06/2016,Wordpress Plugin Vulnerability,>1,CC,>1,N/A
440,02/06/2016,DDoS,Finance,H,UK,N/A
441,03/06/2016,Targeted Attack,>1,CE,N/A,N/A
442,03/06/2016,PoS Malware,Industry: Restaurant,CC,US,N/A
443,03/06/2016,SQLi,Industry: Mining,H,ZA,N/A
444,03/06/2016,Unknown,Industry: E-Commerce,CC,UK,N/A
445,04/06/2016,MongoDB Vulnerability,>1,CC,>1,N/A
446,04/06/2016,Account Hijacking,Industry: Software,CC,DE,N/A
447,04/06/2016,DDoS,Bitcoin Wallet,CC,US,N/A
448,04/06/2016,Unknown,Industry: Software,CC,US,N/A
